2015-05-18 19:47:37 status installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:12 startup packages purge
2015-05-19 03:02:12 status installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 remove hildon-desktop 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status half-configured hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status half-installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status triggers-pending gnome-menus 2.30.3-1
2015-05-19 03:02:15 status half-installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status triggers-pending desktop-file-utils 0.15-2
2015-05-19 03:02:15 status half-installed hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status config-files hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 purge hildon-desktop 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status config-files hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status config-files hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status config-files hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status config-files hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:15 status config-files hildon-desktop 1:2.0.19.debian.1-3
2015-05-19 03:02:16 status not-installed hildon-desktop <none>
2015-05-19 03:02:16 status installed hildon-icons 2.1.debian-3
2015-05-19 03:02:16 remove hildon-icons 2.1.debian-3 2.1.debian-3
2015-05-19 03:02:16 status half-configured hildon-icons 2.1.debian-3
2015-05-19 03:02:16 status half-installed hildon-icons 2.1.debian-3
2015-05-19 03:02:17 status config-files hildon-icons 2.1.debian-3
2015-05-19 03:02:17 purge hildon-icons 2.1.debian-3 2.1.debian-3
2015-05-19 03:02:17 status config-files hildon-icons 2.1.debian-3
2015-05-19 03:02:17 status config-files hildon-icons 2.1.debian-3
2015-05-19 03:02:17 status config-files hildon-icons 2.1.debian-3
2015-05-19 03:02:18 status config-files hildon-icons 2.1.debian-3
2015-05-19 03:02:18 status config-files hildon-icons 2.1.debian-3
2015-05-19 03:02:18 status not-installed hildon-icons <none>
2015-05-19 03:02:18 status installed hildon-theme-plankton 4.14.5.debian.1-1
2015-05-19 03:02:18 remove hildon-theme-plankton 4.14.5.debian.1-1 4.14.5.debian.1-1
2015-05-19 03:02:18 status half-configured hildon-theme-plankton 4.14.5.debian.1-1
2015-05-19 03:02:18 status half-installed hildon-theme-plankton 4.14.5.debian.1-1
2015-05-19 03:02:19 status config-files hildon-theme-plankton 4.14.5.debian.1-1
2015-05-19 03:02:19 status config-files hildon-theme-plankton 4.14.5.debian.1-1
2015-05-19 03:02:19 status config-files hildon-theme-plankton 4.14.5.debian.1-1
2015-05-19 03:02:19 status not-installed hildon-theme-plankton <none>
2015-05-19 03:02:19 status installed libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:19 remove libhildonhelp0 2.0.5.debian.5-1+b1 2.0.5.debian.5-1+b1
2015-05-19 03:02:19 status half-configured libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:19 status half-installed libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status config-files libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 purge libhildonhelp0 2.0.5.debian.5-1+b1 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status config-files libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status config-files libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status config-files libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status config-files libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status config-files libhildonhelp0 2.0.5.debian.5-1+b1
2015-05-19 03:02:21 status not-installed libhildonhelp0 <none>
2015-05-19 03:02:21 status installed libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 remove libhildondesktop0 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status half-configured libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status half-installed libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status config-files libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 purge libhildondesktop0 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status config-files libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status config-files libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status config-files libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status config-files libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status config-files libhildondesktop0 1:2.0.19.debian.1-3
2015-05-19 03:02:21 status not-installed libhildondesktop0 <none>
2015-05-19 03:02:21 status installed libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:21 remove libhildon-1-0 2.1.34.debian.1-7 2.1.34.debian.1-7
2015-05-19 03:02:21 status half-configured libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:21 status half-installed libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:23 status config-files libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:23 purge libhildon-1-0 2.1.34.debian.1-7 2.1.34.debian.1-7
2015-05-19 03:02:23 status config-files libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:24 status config-files libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:25 status config-files libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:25 status config-files libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:25 status config-files libhildon-1-0 2.1.34.debian.1-7
2015-05-19 03:02:25 status not-installed libhildon-1-0 <none>
2015-05-19 03:02:25 status installed libhildonwm0 1:2.0.19.debian.1-3
2015-05-19 03:02:26 remove libhildonwm0 1:2.0.19.debian.1-3 1:2.0.19.debian.1-3
2015-05-19 03:02:26 status half-configured libhildonwm0 1:2.0.19.debian.1-3
